"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08"
"United States",0,,,,,,,,,850,850,850,932,1000,1100,1293,1300,1300,1300,1300,1225,1100,1075,1110,1135,1150,1200,1250,1300,1270,1250,1200,1225,1200,1200,1221,1150,1250,1292,1300,1310,1321,1395,1400,1529,1615,1550,1602,1600,1600,1600,1600,1700,1700,1500,1500,1499,1475,1460,1425,1450,1486,1500,1500,1510,1500,1500,1500,1495,1485,1415,1445,1455,1499,1495,1495,1495,1475,1500,1495
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2150,2150,2225,2200,2200,2295,2350,2395,2400,2400,2400,2420,2450,2495,2495,2500,2475,2550,2500,2550,2600,2600,2525,2550,2600,2625,2550,2550,2500,2540,2550,2550,2595,2575,2200,2136,2150,2150,2150,2100,2100,2100,2135,2200,2250,2199,2100,2175,2150,2100,2100,2100,2100,2100,2100,2150,2199,2200,2200,2200
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1425,1415,1450,1500,1520,1375,1300,1350,1350,1250,1295,1295,1295,1300,1300,1295,1295,1275,1240,1225,1200,1250,1295,1320,1325,1325,1335,1330,1345,1383.5,1375,1370,1349,1355,1415,1450,1423,1436,1425,1399,1395,1395,1445,1350,1495,1485,1450,1425,1475,1540,1539.5,1555,1595,1625,1675,1685,1695,1695,1713.5,1702,1700,1720,1725,1735,1750,1750,1757,1800,1795,1825,1850,1880,1857,1850,1850,1880,1832.5
"Chicago, IL",3,,1100,1150,1100,1100,1000,985,1125,1250,1255,1265,1150,1222.5,1200,1226.5,1245,1311,1288.5,1250,1275,1250,1225,1295,1300,1235,1195,1150,1200,1270,1255,1250,1300,1380,1325,1375,1350,1495,1399,1449,1472,1500,1513,1525,1500,1480,1516,1595,1551,1457,1435,1400,1400,1425,1570,1400,1602,1630,1600,1350,1490,1595,1400,1400,1425,1399,1375,1380,1525,1600,1690,1603,1550,1650,1500,1457,1450,1425,1395,1407.5
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,650,655,685,714,737,777,807,775,794,795,785,775,793,796,800,827,930,825,847.5,850,864,880,895,850,960,1021,1055,1049,1025,999,1000,1020,968.5,990.5,939.5,925,923,939,1002,1009,1000,980,950,989,990,998,999,1015,1039,1030,1060,1060,1066,1079,1109,1090,1095,1089,1085,1089
"Philadelphia, PA",5,,,,,,,990,895,895,915,900,974,950,950,995,950,975,945,950,975,925,930,925,935,972.5,975,1000,1000,995,975,995,975,985,990,950,925,950,975,980,1050,1001.5,975,950,950,950,990,975,925,947,950,975,1100,1100,1100,1100,1042,1050,1033,1000,1000,1015,1060,1125,1115,1100,1075,1100,1055,1050,1110,1064,1100,1100,1145,1175,1195,1165,1190,1175
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1085,1005,993,1013.5,1043,1057,1050,1045,1050,1078,1020,1025,1020,1029,1050,1080,1099,1100,1100,1100,1110,1119,1240,1221,1240,1175,1200,1175,1161,1131,1115,1108
"Washington, DC",7,1300,1300,1400,1350,1395,1400,1375,1400,1400,1400,1415,1425,1400,1400,1425,1430,1465,1500,1715,1780,1754,1611,1632,1655,1694,1742,1745,1765,1795,1780,1710,1708,1705,1695,1720,1725,1723,1739,1700,1615,1650,1622,1698,1695,1684,1675,1640,1655,1649,1630,1649,1695,1700,1785,1800,1710,1695,1692,1695,1695,1727,1725,1750,1743,1745,1720,1730,1729,1715,1695,1695,1700,1721,1727,1729,1700,1719,1725,1680
"Miami-Fort Lauderdale, FL",8,1300,1299,1300,1275,1300,1200,1200,1325,1350,1300,1300,1299,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1225,1200,1250,1250,1250,1200,1175,1175,1195,1195,1200,1200,1225,1250,1300,1450,1429,1400,1440,1450,1450,1400,1375,1325,1300,1350,1390,1395,1399,1400,1400,1425,1400,1450,1500,1500,1500,1565.5,1625,1600,1650,1600,1600,1650,1600,1650,1650,1650,1600,1600,1575,1500,1536
"Atlanta, GA",9,999.5,975,1000,1000,1050,1000,925,900,950,975,950,879,925,911,900,890,860,850,870,882.5,804.5,810,835,799,840,797,795,825,830,835,855,830,845,822,810,802,795,795,799,825,818,835,840,899,975,940,997.5,1033,1006,1016,1025,1020,1049,1050,1025,1050,1027.5,1030,1030,1050,1085,1075,1084.5,1116.5,1140,1140,1153,1140,1130,1169,1170,1173,1173,1200,1200,1095,1164.5,1150,1179
